name,purpose,processing,hypothesis,model_class,n_features,fold_a_precision_at_recall_070,fold_b_precision_at_recall_070,mean_precision_at_recall_070,decision,run_id
baseline_quickstart,,исходная,,RandomForestClassifier,,0.10351201478743069,0.0953929539295393,0.099452484358485,anchor,f1d10799e8c44bd991908ac92c3487f8
w1_clean_base,search,исходная,"те же два счётчика quickstart по очищенным событиям окна, проверка последствий удаления дублей",RandomForestClassifier,2,0.10214741729541497,0.09207161125319693,0.09710951427430595,anchor,15c5d2d5531e4361a051f3d307c782df
w1_composition,search,исходная,"семейство composition: счётчики и доли девяти типов событий, боты чаще смотрят выдачу и объявления, реже листают фото",RandomForestClassifier,20,0.16164658634538154,0.16446124763705103,0.1630539169912163,accepted,fe48acff09de418f8de908b4b4d3b3df
w1_diversity,search,исходная,"семейство diversity: глубина выдачи и разнообразие, page_mean 0.723 и n_locations 0.715 в EDA",RandomForestClassifier,12,0.1871345029239766,0.20327102803738317,0.19520276548067989,accepted,c8e011c726824b87b36ffe8d0135ab11
w1_rhythm,search,исходная,"семейство rhythm: интервалы и всплески, gap_median_s 0.271 и max_events_per_min 0.698",RandomForestClassifier,7,0.22869318181818182,0.24751066856330015,0.23810192519074097,accepted,81b5040856c0440fb59f7e761d8d6283
w1_age,search,исходная,"семейство age: возраст cookie, до 7 дней 15-17% ботов против 5-6%",RandomForestClassifier,3,0.13212221304706853,0.10703363914373089,0.11957792609539972,accepted,d45481d725f74f3e8d2fa1ec69da7514
w1_client,search,исходная,"семейство client: платформа и вид клиента, headless 27.7% ботов",RandomForestClassifier,10,0.11593220338983051,0.10205278592375366,0.10899249465679209,accepted,b5f23bceb3e34996a9ae0f06846fd420
w1_pointer,search,исходная,"семейство pointer: наличие и разброс курсора, AUC 0.060 на web с координатами",RandomForestClassifier,5,0.2069857697283312,0.19817767653758542,0.2025817231329583,accepted,aa220cc083ef40feb355543cd5143f72
w1_all_families,search,исходная,все шесть семейств EDA вместе на лесе,RandomForestClassifier,47,0.6530612244897959,0.525679758308157,0.5893704913989765,accepted,15b6ae7ea4de4529a5f4f78ee9b6a70e
w2_rf_leaf1,search,исходная,"лес без ограничения листа, 500 деревьев",RandomForestClassifier,47,0.6639004149377593,0.5454545454545454,0.6046774801961523,accepted,206b63d51dea4ebc93a5d65681126efa
w2_rf_leaf10,search,исходная,"лес с листом 10, сглаживание score",RandomForestClassifier,47,0.5812274368231047,0.5288753799392097,0.5550514083811573,rejected,7e0e1c6b16534e0fae54c3dc136ecefe
w2_rf_leaf30,search,исходная,"лес с листом 30, сильное сглаживание",RandomForestClassifier,47,0.46408839779005523,0.44387755102040816,0.4539829744052317,rejected,c805a187c342493bafb23ca86cf69725
w2_et_leaf5,search,исходная,"ExtraTrees с листом 5, случайные пороги",ExtraTreesClassifier,47,0.5228758169934641,0.5288753799392097,0.5258755984663369,rejected,b252e8a29c63449aab0730fb7eb9023d
w2_hgb_small,search,исходная,"бустинг 300 итераций, 15 листьев, lr 0.05",HistGradientBoostingClassifier,47,0.6639004149377593,0.6020761245674741,0.6329882697526167,accepted,28066b18bf2a43bfb5e4d7dc0958964a
w2_hgb_slow,search,исходная,"бустинг 600 итераций, 31 лист, lr 0.03",HistGradientBoostingClassifier,47,0.6779661016949152,0.6468401486988847,0.6624031251969,accepted,ec242f44d2d2487189a98f80a77a7aa3
w2_hgb_shallow,search,исходная,"бустинг глубины 4, 150 итераций, lr 0.1",HistGradientBoostingClassifier,47,0.6986899563318777,0.6105263157894737,0.6546081360606757,rejected,789bd7e2c7f446d68cc1faa1c1440142
w2_cat_d6,search,исходная,"CatBoost глубина 6, 800 итераций, lr 0.03",CatBoostClassifier,47,0.7476635514018691,0.6470588235294118,0.6973611874656405,accepted,a3d75dda262a4685a0efffa990300ad7
w2_cat_d4,search,исходная,"CatBoost глубина 4, 1000 итераций, lr 0.05, l2 10",CatBoostClassifier,47,0.7476635514018691,0.6126760563380281,0.6801698038699486,rejected,1d8d3a074f6b4193bae407cb1377a32e
w2_logreg_c1,search,исходная,"логистическая модель, C 1, log1p и индикаторы пропусков",Pipeline,47,0.3675799086757991,0.4656084656084656,0.41659418714213237,rejected,8a4f84638728445a9a861f8dd65abca2
w2_logreg_c01,search,исходная,"логистическая модель, C 0.1",Pipeline,47,0.4289544235924933,0.4416243654822335,0.43528939453736337,rejected,c7566a6816934b9c93d1e2d79dd86049
w3_cat_lr05,search,исходная,"CatBoost глубина 6, lr 0.05 вместо 0.03 при 800 итерациях",CatBoostClassifier,47,0.6837606837606838,0.651685393258427,0.6677230385095554,rejected,3c8c2b0df13e4290b9a8eb6acd9ce27e
w3_cat_iter1500,search,исходная,"CatBoost глубина 6, 1500 итераций при lr 0.03",CatBoostClassifier,47,0.7523364485981309,0.68359375,0.7179650992990654,accepted,5ed7a875304f4b268efa8446691effcf
w3_cat_d8,search,исходная,"CatBoost глубина 8, 800 итераций, lr 0.03",CatBoostClassifier,47,0.7048458149779736,0.651685393258427,0.6782656041182002,rejected,4f7f553084054b30b4da291ac38ee8be
w3_cat_l2_10,search,исходная,"CatBoost глубина 6 с l2 10, сильнее регуляризация",CatBoostClassifier,47,0.7079646017699115,0.6529850746268657,0.6804748381983886,rejected,2eafad4d840a47888173e19249a639dd
w3_cat_rsm05,search,исходная,CatBoost глубина 6 с половиной признаков на сплит,CatBoostClassifier,47,0.7239819004524887,0.6420664206642066,0.6830241605583476,rejected,b10e67fb4b4b4380a49863acd0835f2f
w3_hgb_1000,search,исходная,"бустинг sklearn 1000 итераций, 31 лист, lr 0.03",HistGradientBoostingClassifier,47,0.6926406926406926,0.6529850746268657,0.6728128836337792,rejected,8b10973f6d8c47e7aeb13ec2880fcf98
w3_gap_tail,search,исходная,"пакет gap_tail: квантили интервалов и доли коротких и длинных пауз, gap_q75_s AUC 0.261",CatBoostClassifier,52,0.730593607305936,0.6718146718146718,0.7012041395603039,rejected,b86d73217e7e4978ae50032ab8204a40
w3_activity,search,исходная,"пакет activity: всплеск за 5 минут, пиковая минута, ровность по часам, ночь, max_events_per_5min 0.711",CatBoostClassifier,52,0.6779661016949152,0.6214285714285714,0.6496973365617433,rejected,6912b032486e4ab0a7fa119194639e83
w3_repeat,search,исходная,"пакет repeat: серии одинаковых событий и повторные просмотры, max_run_same_event 0.669",CatBoostClassifier,51,0.71875,0.6236559139784946,0.6712029569892473,rejected,019e0bf4a3044248bce9711a08296eb2
w3_depth,search,исходная,"пакет depth: страниц выдачи на один запрос, pages_per_query 0.715",CatBoostClassifier,48,0.7511737089201878,0.6541353383458647,0.7026545236330262,rejected,f711b2beaefd47b18426eee1b70089df
w3_behavior_all,search,исходная,все четыре пакета поведения вместе,CatBoostClassifier,62,0.7239819004524887,0.6214285714285714,0.6727052359405301,rejected,f18189ed839149e78a857482017eb29a
w4_cat_balanced,search,исходная,веса классов Balanced при доле ботов 8%,CatBoostClassifier,47,0.6835443037974683,0.6444444444444445,0.6639943741209564,rejected,3b849098b0aa45aebce40c7b8e9b0d9a
w4_cat_ua_raw,search,исходная,"сырая строка User-Agent как категория CatBoost, все 148 строк test есть в train, проверка запоминания сервисов",CatBoostClassifier,48,0.6986899563318777,0.6327272727272727,0.6657086145295752,rejected,2358b266c62e42118ddf7e057ea1aa3a
w4_missing,search,исходная,"доли пропусков категории, локации и типа продавца, AUC доли у cookie 0.53-0.56 в EDA",CatBoostClassifier,50,0.7547169811320755,0.628158844765343,0.6914379129487093,rejected,d091b4883968456896ae43b368f1eaa2
w4_cat_iter2500,search,исходная,"CatBoost 2500 итераций при lr 0.02, продолжение прироста от числа итераций",CatBoostClassifier,47,0.6909871244635193,0.64,0.6654935622317597,rejected,c8a11ddee682476090fb308b1e0c7fa9
w4_cat_subsample,search,исходная,CatBoost с Bernoulli subsample 0.8,CatBoostClassifier,47,0.7373271889400922,0.651685393258427,0.6945062910992597,rejected,6b34bd778acd4a5b9325465b01a52749
w4_cat_d5,search,исходная,CatBoost глубина 5 между 4 и 6,CatBoostClassifier,47,0.7351598173515982,0.6327272727272727,0.6839435450394354,rejected,dbadc97caa9e41df8fab6c9f89a58a9b
w5_cursor_edge,search,исходная,"курсор на краю экрана и шаг между координатами, pointer_edge_share AUC 0.755 у web с курсором",CatBoostClassifier,51,0.7511737089201878,0.6590909090909091,0.7051323090055484,rejected,ac5d9db2cda946f69e07a2da6753fc9e
w5_cursor_spread,search,исходная,"число координат, отсутствие курсора на web, нормированный размах и положение",CatBoostClassifier,54,0.7111111111111111,0.6590909090909091,0.6851010101010101,rejected,d95ee5861ad945ca9d19184b30f0f0cd
w5_cursor_both,search,исходная,оба пакета курсора вместе,CatBoostClassifier,58,0.7619047619047619,0.6932270916334662,0.727565926769114,accepted,7146920ab57f4c10a07a4b7834354869
w5_app_version,search,исходная,"версия приложения Avito, 118/120/122 дают 5.8/8.9/13.4% ботов на android",CatBoostClassifier,48,0.7419354838709677,0.6492537313432836,0.6955946076071257,rejected,679286d1019c49b19e49c75f6a264b92
w5_ua_family,search,исходная,семейство клиента из User-Agent как категория CatBoost вместо четырёх видов,CatBoostClassifier,48,0.7174887892376681,0.6529850746268657,0.6852369319322669,rejected,4f8a80998e2144f8a6e37b8cef291e0f
w5_ua_device,search,исходная,"модель Android-устройства как категория, M2101K6G 13.5% ботов, техническое поле под отдельной проверкой",CatBoostClassifier,48,0.7207207207207207,0.6730769230769231,0.6968988218988219,rejected,133bbe6e076b4734a43d2fc1ec9dd0a9
w5_seed17,seed_check,исходная,принятый вариант с seed 17,CatBoostClassifier,47,0.7363636363636363,0.6236559139784946,0.6800097751710654,seed_check,609782516cde408a86ae99eaeafcb735
w5_seed42,seed_check,исходная,принятый вариант с seed 42,CatBoostClassifier,47,0.7272727272727273,0.635036496350365,0.6811546118115461,seed_check,36677d959aa84dfb8617a63bce5ebdd2
w6_seeds_1500,search,исходная,"усреднение вероятностей CatBoost по seed 0, 17, 42: разброс одиночного seed около 0.04",VotingClassifier,58,0.7547169811320755,0.7172131147540983,0.7359650479430869,anchor,169c99b5a629476ba6902b38ea0107c6
w6_seeds_800,search,исходная,"то же усреднение при 800 итерациях: проверка, что прирост от 1500 итераций не был удачей seed",VotingClassifier,58,0.7407407407407407,0.6770428015564203,0.7088917711485805,rejected,6a3c1883d78749f69d0654caf8568b75
w6_session,search,исходная,"ритм внутри сессий: доля интервалов 3-40 с, ровность, всплеск за 10 минут; пропущенные боты работают как опрос по расписанию",VotingClassifier,64,0.7920792079207921,0.6730769230769231,0.7325780654988576,rejected,cfba17d78d4841b1bf0996c631f67666
w6_geo_category,search,исходная,"локаций на категорию 5 против 2 у пропущенных ботов, нет главного города",VotingClassifier,62,0.7725118483412322,0.7160493827160493,0.7442806155286408,alternative,4ab5fc697ca94074ace7b14738decfbd
w6_search_behavior,search,исходная,"поиск со второй страницы, повтор запроса на случайных страницах",VotingClassifier,63,0.7729468599033816,0.6641221374045801,0.7185344986539809,rejected,31f413f9542d4343a2f28182711dad5b
w6_errors_all,search,исходная,три пакета из разбора ошибок вместе,VotingClassifier,73,0.8121827411167513,0.6744186046511628,0.7433006728839571,alternative,de9c7191069242618e83b33e44fa9850
w6_gap_tail,search,исходная,"повтор пакета gap_tail на усреднении seed, на seed 0 было -0.017",VotingClassifier,63,0.7960199004975125,0.660377358490566,0.7281986294940392,rejected,2a63a7acee6645629b9861e33f323270
w6_depth,search,исходная,"повтор пакета depth, на seed 0 было -0.015",VotingClassifier,59,0.7547169811320755,0.6850393700787402,0.7198781756054078,rejected,b6b8e774048645b89fe418f330d4bafa
w6_missing,search,исходная,"повтор индикаторов пропусков, на seed 0 было -0.027",VotingClassifier,61,0.7142857142857143,0.6850393700787402,0.6996625421822272,rejected,ff17a3a043614d1ea5d9f5ebf70711cd
w7_geo_session,search,исходная,"гео и категория вместе с ритмом сессий: оба сильны на fold_a, проверка сочетания",VotingClassifier,68,0.7931034482758621,0.6692307692307692,0.7311671087533156,rejected,d42a3e730e944196bc05b5fd36a9f64b
w7_geo_search,search,исходная,гео и категория вместе с поведением поиска,VotingClassifier,67,0.7655502392344498,0.7016129032258065,0.7335815712301281,rejected,531b853464c745b1abcdcfcabb4b401c
w7_geo_gap_tail,search,исходная,гео и категория вместе с хвостом интервалов,VotingClassifier,67,0.7960199004975125,0.635036496350365,0.7155281984239388,rejected,68bf65b04cdc494e9e15949f026cb60e
w7_loc_per_cat,search,исходная,"только локаций на категорию, самый сильный одиночный признак разбора ошибок, AUC 0.780",VotingClassifier,59,0.7864077669902912,0.7056451612903226,0.7460264641403069,alternative,98dc02db89454f9bab50a2522379213d
w7_geo_l2_10,search,исходная,гео и категория при l2 10: сильнее регуляризация ради fold_b,VotingClassifier,62,0.7960199004975125,0.7131147540983607,0.7545673272979365,alternative,5a66addd118e48cdb1a981dd2724a59d
w8_regularity,search,исходная,"относительное медианное отклонение интервалов, AUC 0.241 и не зависит от объёма",VotingClassifier,59,0.7843137254901961,0.6492537313432836,0.7167837284167398,rejected,a649597ad40542019c8c43d66027d859
w8_drop_composition,ablation,исходная,абляция: опорный вариант без семейства composition,VotingClassifier,40,0.6986899563318777,0.6214285714285714,0.6600592638802245,ablation,1fd6b26fc2514b99be84b49d63286ba8
w8_drop_diversity,ablation,исходная,абляция: опорный вариант без семейства diversity,VotingClassifier,48,0.6177606177606177,0.5878378378378378,0.6027992277992278,ablation,cefbeee084184f12aa9de657b3256cef
w8_drop_rhythm,ablation,исходная,абляция: опорный вариант без семейства rhythm,VotingClassifier,53,0.5476190476190477,0.5337423312883436,0.5406806894536956,ablation,df0b63d98dc0429c9467a26d539506fb
w8_drop_age,ablation,исходная,абляция: опорный вариант без семейства age,VotingClassifier,57,0.7272727272727273,0.696,0.7116363636363636,ablation,ff10c266541b4bdebee486bdedfd9ace
w8_drop_client,ablation,исходная,абляция: опорный вариант без семейства client,VotingClassifier,50,0.7142857142857143,0.6744186046511628,0.6943521594684385,ablation,da4b8009188c458aa6e443e89638688b
w8_drop_pointer,ablation,исходная,абляция: опорный вариант без семейства pointer,VotingClassifier,55,0.7630331753554502,0.6744186046511628,0.7187258900033064,ablation,395b88f55ec34cd98c3c9f3673b2794f
w8_drop_cursor_edge,ablation,исходная,абляция: опорный вариант без семейства cursor_edge,VotingClassifier,54,0.7655502392344498,0.6541353383458647,0.7098427887901573,ablation,1d6706f8738b4a24afc7573687fa5b60
w8_drop_cursor_spread,ablation,исходная,абляция: опорный вариант без семейства cursor_spread,VotingClassifier,51,0.7630331753554502,0.6718146718146718,0.717423923585061,ablation,24d9b77760094325a84c7cc448e5c2d6
w8_control_shuffled,control,исходная,"контроль: метки обучения перемешаны, проверка по настоящим меткам должна дать уровень доли ботов",VotingClassifier,58,0.08685714285714285,0.07725856697819315,0.08205785491766801,control,ebb126dec59d4071bc9dcb4e5a67d699
w8_hgb,search,исходная,HistGradientBoosting на признаках опорного варианта как вторая модель для смеси,HistGradientBoostingClassifier,58,0.7043478260869566,0.7073170731707317,0.7058324496288442,rejected,de3a8ffbac464cd78a115a2653fe9366
